gacsid,prefLabelEn,altLabelsEn,notesEn,defsEn,btsEn
30142,Abruzzi,"","","",BT Italy
23422,Adriatic Sea,"","","",BT Mediterranean Sea
94,Afghanistan,UF Transitional Islamic State of Afghanistan; Islamic Republic of Afghanistan; Republic of Afghanistan; Islamic State of Afghanistan,"","",BT Central Asia; Southwestern Asia
3580,Africa,UF African continent,"","",BT geographical regions
11923,Africa South of Sahara,UF subsaharan Africa; Sub-Saharan Africa; Sub Saharan Africa; Africa South of the Sahara,"","",BT Africa
20491,Alabama,UF Alabama (USA),SN The U.S. state; for the moth genus use 'Alabama (Lepidoptera)'.,"",BT South Eastern States (USA)
9244,Alaska,"","","",BT Western States of USA
19,Albania,UF People's Socialist Repub of Albania,"","",BT Eastern European region; Mediterranean region; Balkans
15421,Alberta,"",SN The Canadian province; for the plant genus use 'Alberta (Spermatophyta)'.,"",BT Canada
247,Algeria,UF People's Dem Republic of Algeria,"","",BT North Africa; Francophone Africa; Mediterranean region
21380,Alps,UF Alps (mountains); Alpen region; Alps region,"","DF Large mountain system of south-central Europe extending through Italy, France, Switzerland, Germany, Austria and the northwest Balkan peninsula.",BT geographical regions
25519,Alsace,"","","",BT France
19297,Amazonas (Brazil),UF Amazonas,"","",BT Brazil
9646,Amazonia,UF Amazonian region; Amazon rainforest; Amazon rain forest; Amazon region,"SN The region around the Amazon river; The South American region; for the fungal genus, use 'Amazonia (Fungi)'.",DF The region immediately surrounding the Amazon River in South America.,BT South America
586,American Samoa,"UF Eastern Samoa; Samoa, Eastern; Samoa, American","","",BT Samoa
14692,Americas,UF America,"","",BT geographical regions
17605,Andean region,UF Andes mountains; Andes region; Andean zone; Andes,"","DF The area of the great mountain system of South America, extending 4500 miles along the entire west coast of South America from Tierra del Fuego in the south to Panama in the north and crossing through the countries of Venezuela, Bolivia, Ecuador, Colombia, Peru, Chile and Argentina. The Andes region is made up of several parallel ranges, called cordilleras.",BT South America
22198,Andhra Pradesh,"","","",BT India
46,Andorra,UF Principality of Andorra,"","",BT Western Europe
406,Angola,UF People's Republic of Angola; Portuguese West Africa,"","",BT Southern Africa
613,Anguilla (Island),"","","",BT Caribbean
30418,Anhui,UF Anhwei; China (Anhwei),"","",BT China
25204,Antarctica,UF Antarctic region; south polar region; South Shetland Islands; South Orkney Islands,"SN All Antarctic territories; All Antarctic territories.; For the landmass of Antarctica and its territories; for Antarctica and the south waters of the Atlantic, Pacific and Indian Oceans USE Antarctic region.","",BT geographical regions
556,Antigua and Barbuda,UF Antigua; Barbuda; Antigua & Barbuda; Redonda,"","",BT Caribbean
12622,Apulia,UF Puglia,"","",BT Italy
17638,Aquitaine,"","","",BT France
20596,Arab countries,"","","",BT countries
27556,Aragua,"","","",BT Venezuela
205,Argentina,UF Argentine Republic; Argentina (Patagonia); Argentina Norte; Argentina Centro; Patagonia; Argentina (Andina); Argentina (Norte); Argentina Andina; Argentina (Litoral); Argentina (Centro); Argentina Litoral,"","",BT Latin America; South America
7252,Arizona,"","","",BT Western States of USA
8326,Arkansas,"","","",BT South Eastern States (USA)
523,Armenia,UF Armenian SSR; Republic of Armenia; Armenian Soviet Socialist Republic,SN Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <8926>; Part of USSR before 1992; for documents dealing with that region before the change of status use <619>,"",BT USSR
3808,Asia,UF Asian continent,"","",BT geographical regions
31792,Assam,"","","",BT India
22816,Atlantic Ocean,"","","",BT oceans
16,Australia,UF Commonwealth of Australia,"","",BT Oceania
13,Austria,UF Republic of Austria; Vorarlberg; Tyrol; Vienna; Burgenland; Styria; Lower Austria; Steiermark; Tirol; Upper Austria; Salzburg,"","",BT Western Europe
28105,Auvergne,"","","",BT France
169,Azerbaijan,UF Azerbaidzhan SSR; Republic of Azerbaijan; Azerbaijani Republic; Azerbaijan Soviet Socialist Republic,SN Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <9026>; Part of USSR before 1992; for documents dealing with that region before the change of status use <748>,"",BT USSR
10528,Baden-Wuerttemberg,UF Baden-Wurttemberg,"","",BT Germany
79,Bahamas,UF Commonwealth of the Bahamas; The Bahamas,"","",BT Caribbean
19195,Bahia,"","","",BT Brazil
475,Bahrain,UF State of Bahrain; Kingdom of Bahrain,"","",BT Middle East
32377,Bali,"","","",BT Nusa Tenggara
29383,Balkans,UF Balkan States,"",DF Countries occupying the Balkan Peninsula.,BT Europe
15916,Baltic Sea,"","","",BT Northeast Atlantic; seas
715,Bangladesh,UF People's Republic of Bangladesh; East Pakistan; BD (ISO 3166); Khulna; Dacca; Chittagong; Rajshahi,"","",BT South Asia
712,Barbados,"","","",BT Caribbean
18595,Basilicata,"","","",BT Italy
7099,Bavaria,"","","",BT Germany
32575,Bay of Bengal,"","","",BT Indian Ocean
28708,Beijing,UF Peking; China (Peking); Peking Municipality; Beijing Shi,"","",BT China
151,Belarus,UF Byelorussian SSR; Republic of Belarus; Byelorussia; White Russia; Belorussian SSR; Byelarus; Belorussian Soviet Socialist Republic; Byelorussian Soviet Socialist Republic,SN Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <33237>; Part of USSR before 1992; for documents dealing with that region before the change of status use <1171>,"",BT Eastern European region
766,Belgium,"UF Hainault; Namur; Liege (Belgium); Luxembourg (Belgium); Limbourg; Kingdom of Belgium; West Flanders; East Flanders; Brabant; Antwerp; Belgium (Liege); Belgium (Limbourg); Belgium (Hainault); Liege; Luxembourg (Belgian); Belgium (Luxembourg); Oost-Vlanderen; Belgium (Namur); Belgium (East Flanders); Belgium (Brabant); Belgian Luxembourg; Belgium (West Flanders); Belgium (Antwerp); Flanders, East; Flanders; Flanders, West","","",BT Western Europe
706,Belize,"UF British Honduras; Honduras (British); Honduras, British","","",BT Central America
