30142	Abruzzi	BT Italy	location
23422	Adriatic Sea	BT Mediterranean Sea	location
94	Afghanistan	UF Transitional Islamic State of Afghanistan; Islamic Republic of Afghanistan; Republic of Afghanistan; Islamic State of Afghanistan / BT Central Asia; Southwestern Asia	location
3580	Africa	UF African continent / BT geographical regions	location
11923	Africa South of Sahara	UF subsaharan Africa; Sub-Saharan Africa; Sub Saharan Africa; Africa South of the Sahara / BT Africa	location
20491	Alabama	UF Alabama (USA) / SN The U.S. state; for the moth genus use 'Alabama (Lepidoptera)'. / BT South Eastern States (USA)	location
9244	Alaska	BT Western States of USA	location
19	Albania	UF People's Socialist Repub of Albania / BT Eastern European region; Mediterranean region; Balkans	location
15421	Alberta	SN The Canadian province; for the plant genus use 'Alberta (Spermatophyta)'. / BT Canada	location
247	Algeria	UF People's Dem Republic of Algeria / BT North Africa; Francophone Africa; Mediterranean region	location
21380	Alps	UF Alps (mountains); Alpen region; Alps region / DF Large mountain system of south-central Europe extending through Italy, France, Switzerland, Germany, Austria and the northwest Balkan peninsula. / BT geographical regions	location
25519	Alsace	BT France	location
19297	Amazonas (Brazil)	UF Amazonas / BT Brazil	location
9646	Amazonia	UF Amazonian region; Amazon rainforest; Amazon rain forest; Amazon region / SN The region around the Amazon river; The South American region; for the fungal genus, use 'Amazonia (Fungi)'. / DF The region immediately surrounding the Amazon River in South America. / BT South America	location
586	American Samoa	UF Eastern Samoa; Samoa, Eastern; Samoa, American / BT Samoa	location
14692	Americas	UF America / BT geographical regions	location
17605	Andean region	UF Andes mountains; Andes region; Andean zone; Andes / DF The area of the great mountain system of South America, extending 4500 miles along the entire west coast of South America from Tierra del Fuego in the south to Panama in the north and crossing through the countries of Venezuela, Bolivia, Ecuador, Colombia, Peru, Chile and Argentina. The Andes region is made up of several parallel ranges, called cordilleras. / BT South America	location
22198	Andhra Pradesh	BT India	location
46	Andorra	UF Principality of Andorra / BT Western Europe	location
406	Angola	UF People's Republic of Angola; Portuguese West Africa / BT Southern Africa	location
613	Anguilla (Island)	BT Caribbean	location
30418	Anhui	UF Anhwei; China (Anhwei) / BT China	location
25204	Antarctica	UF Antarctic region; south polar region; South Shetland Islands; South Orkney Islands / SN All Antarctic territories; All Antarctic territories.; For the landmass of Antarctica and its territories; for Antarctica and the south waters of the Atlantic, Pacific and Indian Oceans USE Antarctic region. / BT geographical regions	location
556	Antigua and Barbuda	UF Antigua; Barbuda; Antigua & Barbuda; Redonda / BT Caribbean	location
12622	Apulia	UF Puglia / BT Italy	location
17638	Aquitaine	BT France	location
20596	Arab countries	BT countries	location
27556	Aragua	BT Venezuela	location
205	Argentina	UF Argentine Republic; Argentina (Patagonia); Argentina Norte; Argentina Centro; Patagonia; Argentina (Andina); Argentina (Norte); Argentina Andina; Argentina (Litoral); Argentina (Centro); Argentina Litoral / BT Latin America; South America	location
7252	Arizona	BT Western States of USA	location
8326	Arkansas	BT South Eastern States (USA)	location
523	Armenia	UF Armenian SSR; Republic of Armenia; Armenian Soviet Socialist Republic / SN Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <8926>; Part of USSR before 1992; for documents dealing with that region before the change of status use <619> / BT USSR	location
3808	Asia	UF Asian continent / BT geographical regions	location
31792	Assam	BT India	location
22816	Atlantic Ocean	BT oceans	location
16	Australia	UF Commonwealth of Australia / BT Oceania	location
13	Austria	UF Republic of Austria; Vorarlberg; Tyrol; Vienna; Burgenland; Styria; Lower Austria; Steiermark; Tirol; Upper Austria; Salzburg / BT Western Europe	location
28105	Auvergne	BT France	location
169	Azerbaijan	UF Azerbaidzhan SSR; Republic of Azerbaijan; Azerbaijani Republic; Azerbaijan Soviet Socialist Republic / SN Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <9026>; Part of USSR before 1992; for documents dealing with that region before the change of status use <748> / BT USSR	location
10528	Baden-Wuerttemberg	UF Baden-Wurttemberg / BT Germany	location
79	Bahamas	UF Commonwealth of the Bahamas; The Bahamas / BT Caribbean	location
19195	Bahia	BT Brazil	location
475	Bahrain	UF State of Bahrain; Kingdom of Bahrain / BT Middle East	location
32377	Bali	BT Nusa Tenggara	location
29383	Balkans	UF Balkan States / DF Countries occupying the Balkan Peninsula. / BT Europe	location
